ID;SESSÃO;NOME_SISTEMA;NOME_CORRIGIDO;SESSÃO_CORRETA
201645;#02 MERCEARIA - MASSAS;MAC ARROZ URBANO ESPAGUETE 500GR ZERO G;MACARRÃO DE ARROZ URBANO 500G ZERO GLUTEN ESPAGUETE;#02 MERCEARIA - MASSAS
246524;#02 MERCEARIA - MASSAS;MAC ARROZ URBANO TALHARIM 500G ZERO GLUT;MACARRÃO DE ARROZ URBANO 500G ZERO GLUTEN TALHARIM;#02 MERCEARIA - MASSAS
303196;#02 MERCEARIA - MASSAS;MACARRÃO ESPAGUETE GALO 400GR AMARELO;MACARRÃO GALO 400G ESPAGUETE AMARELO;#02 MERCEARIA - MASSAS
194449;#02 MERCEARIA - MASSAS;MACARRÃO GALO 500GR AZUL PARAFUSO;MACARRÃO GALO 500G AZUL PARAFUSO;#02 MERCEARIA - MASSAS
131884;#02 MERCEARIA - MASSAS;MACARRÃO SELMI GALO ESPAGUETE 8 500GR VE;MACARRÃO GALO 500G ESPAGUETE VERMELHO Nº8;#02 MERCEARIA - MASSAS
225446;#02 MERCEARIA - MASSAS;NISSIN LAMEN SUAVE CANJA DE GALINHA 75G;MACARRÃO INSTANTANEO NISSIM LAMEN 75G CANJA DE GALINHA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
309236;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 75GR SUAVE CAIPIRA;MACARRÃO INSTANTANEO NISSIM LAMEN 75G SUAVE GALINHA CAIPIRA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
312924;#02 MERCEARIA - MASSAS;MACARRÃO INST. NISSIN 80GR SABOR OMELETE;MACARRÃO INSTANTANEO NISSIM LAMEN 80G OMELETE COM PRESUNTO E QUEIJO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
312925;#02 MERCEARIA - MASSAS;MACARRÃO INST. NISSIN 80GR SABOR PAO NA;MACARRÃO INSTANTANEO NISSIM LAMEN 80G PÃO NA CHAPA COM MANTEIGA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
108410;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GBACON;MACARRÃO INSTANTANEO NISSIM LAMEN 85G BACON;#02 MERCEARIA - MASSAS INSTANTÂNEAS
224050;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GCAMARAO C/ALH;MACARRÃO INSTANTANEO NISSIM LAMEN 85G CAMARAO COM ALHO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
108460;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GCARNE;MACARRÃO INSTANTANEO NISSIM LAMEN 85G CARNE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
317541;#02 MERCEARIA - MASSAS;NISSIN LAMEN MISTERIOJO 85GCARNE;MACARRÃO INSTANTANEO NISSIM LAMEN 85G CARNE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
101780;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GCARNE TOMATE;MACARRÃO INSTANTANEO NISSIM LAMEN 85G CARNE COM TOMATE;#02 MERCEARIA - MASSAS INSTANTÂNEAS
194705;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GCOSTELA;MACARRÃO INSTANTANEO NISSIM LAMEN 85G COSTELA;#02 MERCEARIA - MASSAS INSTANTÂNEAS
111186;#02 MERCEARIA - MASSAS;MACARRÃO INSTANTANEO NISSIM LAMEN 85GFGO ASSADO C/;MACARRÃO INSTANTANEO NISSIM LAMEN 85G FRANGO ASSADO COM LIMÃO;#02 MERCEARIA - MASSAS INSTANTÂNEAS
